Cell_0,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,minimax_score
0,0,1,0,1,-1,0,0,0,1
0,0,1,0,0,0,0,0,0,0
1,-1,1,-1,1,-1,1,1,-1,1
1,1,1,1,-1,-1,1,-1,-1,1
1,1,1,-1,-1,-1,1,-1,1,1
1,0,0,0,0,0,0,-1,1,0
0,0,0,0,1,0,0,0,0,0
1,-1,-1,-1,1,1,1,1,-1,0
1,-1,1,-1,1,-1,1,1,-1,1
1,-1,-1,1,-1,1,-1,1,1,-1
1,0,0,0,0,0,-1,0,1,1
0,1,-1,-1,1,0,-1,1,1,1
-1,-1,1,1,-1,1,-1,1,1,1
1,0,0,0,0,0,0,0,0,0
0,1,-1,-1,1,-1,1,0,1,1
1,-1,0,-1,1,-1,0,1,1,1
0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,-1,0
1,1,-1,0,1,1,-1,0,-1,-1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,1,0,-1,0,1,1,-1,0,0
0,0,1,0,1,-1,0,0,0,1
0,0,1,0,-1,0,1,0,0,0
0,0,1,1,0,0,-1,0,0,0
0,0,0,0,0,0,0,0,1,0
-1,-1,-1,1,1,1,1,-1,1,-1
0,1,0,0,0,0,0,0,0,0
0,-1,0,1,0,-1,1,1,0,1
1,0,1,-1,0,0,-1,0,1,1
0,0,-1,-1,1,0,1,0,1,1
0,0,0,0,0,0,1,-1,1,0
0,1,0,1,0,0,-1,0,0,-1
0,0,0,1,0,0,0,0,0,0
-1,1,1,-1,0,0,1,0,0,-1
0,-1,-1,1,0,1,0,0,1,-1
-1,-1,1,1,-1,1,1,-1,1,-1
-1,1,0,1,1,0,1,-1,-1,1
0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,-1,1,0
1,0,-1,0,0,0,1,0,0,1
1,-1,0,0,1,0,0,1,-1,0
-1,1,1,0,1,1,0,-1,-1,-1
-1,-1,-1,1,1,1,1,1,-1,-1
1,1,1,-1,0,-1,1,0,-1,1
1,-1,0,1,1,-1,1,-1,0,1
0,0,1,0,0,0,0,0,0,0
-1,1,1,-1,1,1,-1,-1,1,-1
-1,-1,1,1,0,-1,1,0,1,1
1,1,-1,1,-1,-1,-1,1,1,-1
0,0,0,0,1,0,0,0,0,0
0,0,-1,0,0,1,1,0,0,0
1,-1,1,-1,1,-1,1,-1,1,1
0,0,0,1,0,0,1,-1,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
-1,1,-1,1,-1,1,1,1,-1,-1
-1,1,1,0,0,0,0,0,0,-1
0,0,0,0,0,1,0,0,0,0
1,1,1,1,0,0,-1,-1,-1,1
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
-1,-1,0,0,0,1,1,0,1,-1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,-1,0,0,0,0
0,-1,0,-1,1,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0
0,0,1,-1,1,1,0,-1,0,1
1,-1,0,0,0,0,1,0,0,1
1,1,1,1,-1,-1,1,-1,-1,1
0,-1,1,-1,0,0,0,1,1,1
1,-1,0,1,-1,-1,0,1,1,0
0,0,1,-1,1,1,-1,-1,1,1
0,0,0,-1,1,1,1,-1,0,0
-1,-1,1,1,-1,1,-1,1,1,1
0,0,0,0,0,0,0,0,1,0
0,-1,1,-1,-1,1,1,1,0,0
1,0,0,1,0,0,0,0,-1,-1
1,0,0,0,0,1,-1,0,0,0
1,1,0,-1,0,0,-1,0,1,1
0,0,0,1,0,0,0,0,0,0
1,-1,1,-1,1,-1,-1,1,1,1
0,0,0,0,0,0,0,1,0,0
0,0,1,-1,0,1,-1,1,0,-1
1,0,0,0,0,0,0,0,0,0
1,-1,1,0,-1,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,0
1,1,-1,-1,0,1,1,0,-1,0
-1,1,0,0,1,-1,1,-1,1,0
-1,-1,1,1,-1,1,-1,1,1,1
0,0,1,0,0,0,0,0,0,0
-1,1,1,1,-1,1,-1,-1,1,1
-1,0,0,1,0,1,0,-1,1,1
0,1,0,0,0,0,0,0,0,0
0,1,0,1,-1,1,1,-1,-1,-1
1,-1,1,0,-1,-1,1,1,0,-1
-1,1,0,0,0,1,0,0,0,-1
0,0,1,1,0,0,0,-1,0,0
1,0,0,-1,0,0,0,0,1,0
0,0,-1,1,1,1,-1,-1,1,1
1,1,-1,0,1,-1,1,-1,0,-1
0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,-1,0,0,-1,-1
1,-1,-1,-1,1,1,1,-1,1,1
0,0,-1,-1,1,-1,1,1,1,1
0,0,0,1,0,1,-1,0,0,-1
0,0,0,0,1,0,0,0,0,0
1,-1,-1,0,1,1,0,1,-1,0
-1,1,-1,1,-1,-1,1,1,1,1
1,-1,1,1,-1,0,-1,0,1,-1
0,0,1,-1,0,1,-1,0,1,1
-1,0,1,1,0,1,-1,1,-1,-1
-1,1,0,-1,1,-1,1,1,0,1
1,-1,1,-1,-1,1,-1,1,1,1
1,1,0,-1,-1,-1,0,1,1,-1
0,1,0,1,-1,0,1,-1,0,0
1,-1,-1,1,0,1,1,0,-1,1
-1,1,1,1,1,0,0,-1,-1,-1
1,0,0,-1,1,0,1,-1,0,1
0,0,0,0,1,0,0,0,0,0
-1,0,-1,1,0,1,1,-1,1,-1
1,-1,-1,1,1,1,-1,-1,1,1
0,0,0,0,0,0,0,0,1,0
0,1,-1,1,1,0,0,0,-1,-1
0,1,1,0,0,-1,1,0,-1,1
1,1,-1,-1,-1,1,1,-1,1,0
1,-1,0,-1,0,0,0,1,1,1
-1,0,0,0,0,1,1,0,0,0
-1,1,1,1,1,-1,-1,-1,1,0
-1,1,0,1,1,1,0,-1,-1,1
0,-1,0,0,0,1,0,1,0,0
1,0,0,1,0,-1,-1,1,0,-1
0,1,0,0,1,-1,0,0,0,1
1,-1,1,-1,1,-1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1,1
1,0,-1,1,0,0,-1,0,1,-1
1,1,1,0,0,-1,0,-1,0,1
-1,-1,-1,1,1,1,0,1,0,-1
0,1,0,0,0,0,0,0,0,0
-1,1,-1,1,-1,1,1,1,-1,-1
0,1,1,-1,1,-1,1,0,-1,1
1,0,-1,0,-1,1,1,-1,1,-1
-1,1,0,1,-1,0,1,0,0,-1
0,0,0,0,0,0,1,0,0,0
-1,1,-1,1,1,1,-1,-1,1,1
0,0,1,0,0,0,0,1,-1,0
-1,-1,1,1,1,1,1,-1,-1,1
1,-1,1,1,-1,0,1,0,-1,1
1,1,1,1,-1,0,0,-1,-1,1
0,0,-1,0,0,1,0,1,0,-1
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,-1,0,0,-1
0,-1,1,1,1,1,-1,0,-1,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,-1,1,-1,1,1,0,1,-1,0
1,1,0,0,1,0,0,-1,-1,-1
-1,1,1,1,1,-1,1,-1,-1,1
-1,-1,1,0,1,1,1,0,-1,1
1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,-1,-1,0,0,1
-1,1,0,0,1,-1,0,0,1,0
0,0,-1,1,1,0,-1,1,0,1
1,0,0,0,0,1,0,0,-1,0
1,1,-1,1,-1,-1,1,1,-1,1
0,0,0,1,0,0,0,0,0,0
0,1,-1,0,0,1,1,0,-1,0
0,1,0,0,0,-1,1,1,-1,-1
-1,-1,1,-1,1,1,-1,1,1,-1
-1,1,-1,-1,-1,1,1,1,1,1
0,0,0,1,0,0,1,0,-1,1
1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,-1,0,-1,1,0,0,1,-1
-1,-1,1,1,-1,1,-1,1,1,1
0,1,-1,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,1,-1,-1,1,1,-1,-1,1,1
1,0,-1,0,1,1,1,-1,-1,0
1,1,-1,0,0,-1,1,1,-1,-1
-1,1,0,-1,1,1,1,0,-1,1
0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0
-1,1,1,0,0,1,0,-1,0,-1
-1,1,1,0,1,-1,1,0,-1,1
0,0,1,0,0,1,-1,0,0,-1
0,-1,0,0,0,1,1,0,0,0
-1,1,-1,0,1,1,1,-1,0,0
1,0,0,0,0,0,0,0,0,0
-1,1,0,1,0,0,0,-1,1,0
-1,-1,1,1,0,-1,0,1,1,0
1,1,-1,1,-1,1,-1,-1,1,-1
-1,1,1,0,1,0,-1,0,0,-1
0,1,1,1,-1,0,-1,0,0,0
1,-1,-1,1,1,1,-1,0,0,1
-1,1,-1,0,1,0,-1,1,1,1
1,0,-1,0,0,0,0,0,1,1
0,0,1,-1,0,1,0,0,0,0
1,0,0,-1,0,0,0,1,0,0
1,-1,1,-1,-1,1,-1,1,1,1
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
-1,1,1,-1,1,1,-1,-1,1,-1
0,1,0,0,0,0,0,1,-1,-1
-1,1,1,1,1,-1,1,-1,-1,1
1,-1,1,0,1,-1,1,0,-1,1
1,-1,-1,1,1,0,0,1,-1,-1
1,1,1,-1,1,-1,-1,-1,1,1
-1,1,1,-1,-1,1,0,1,0,-1
0,0,0,0,-1,1,0,0,1,0
1,0,0,0,0,-1,0,1,0,0
1,0,1,1,-1,0,0,-1,0,-1
1,-1,0,0,0,1,0,0,0,0
1,1,-1,-1,1,-1,1,-1,1,1
-1,0,-1,-1,1,1,0,1,1,-1
1,0,1,-1,1,0,-1,-1,1,1
1,-1,1,-1,1,1,0,0,-1,0
0,1,-1,1,-1,0,0,0,1,-1
1,1,-1,-1,1,1,-1,-1,1,1
-1,1,0,0,0,1,1,0,-1,-1
-1,0,1,1,-1,1,0,1,-1,-1
1,-1,1,-1,-1,1,1,1,-1,0
1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,-1,0,-1
1,1,-1,1,-1,-1,-1,1,1,-1
1,-1,0,1,0,-1,1,-1,1,1
0,1,0,0,0,1,0,-1,0,0
1,0,0,0,0,0,-1,0,1,1
0,0,1,0,0,1,-1,0,0,-1
1,1,1,1,-1,1,-1,-1,-1,1
0,1,-1,1,0,-1,1,-1,1,0
0,-1,1,0,1,0,0,0,0,1
-1,1,-1,1,1,-1,1,-1,1,0
1,0,-1,1,1,0,-1,1,-1,-1
-1,1,-1,1,1,1,0,-1,0,1
1,1,-1,1,1,-1,-1,-1,1,1
-1,1,0,0,1,0,0,0,0,0
-1,1,1,1,-1,1,-1,1,-1,-1
-1,1,1,1,-1,1,-1,-1,1,1
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,1,0,-1,-1,1,-1,1,1,-1
0,0,0,1,1,0,0,-1,0,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,1,1,0,-1,0,0,-1,1,1
1,0,-1,0,0,0,-1,1,1,-1
1,1,0,0,1,0,-1,0,-1,-1
1,-1,1,-1,1,1,-1,1,-1,0
0,1,0,0,0,0,0,0,0,0
1,1,-1,0,0,-1,1,-1,1,1
1,1,0,0,-1,1,1,-1,-1,1
-1,-1,0,1,0,1,0,1,0,-1
0,-1,1,1,0,0,0,0,0,0
1,1,-1,1,1,1,-1,-1,-1,1
1,-1,0,0,1,-1,-1,1,1,1
1,-1,-1,1,1,1,-1,1,-1,1
1,0,0,0,0,-1,1,0,0,1
1,0,0,-1,-1,0,1,1,0,-1
1,0,0,-1,1,0,1,-1,0,1
0,0,0,0,1,-1,1,0,0,1
-1,0,0,1,0,1,0,0,0,-1
1,-1,1,0,-1,-1,1,1,0,-1
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
-1,-1,1,-1,-1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0
0,-1,1,0,0,1,-1,1,0,0
-1,1,0,1,0,-1,0,0,1,0
1,0,1,-1,1,-1,0,-1,1,1
1,1,-1,0,0,0,1,-1,0,0
0,0,0,0,0,0,0,0,1,0
1,1,-1,1,-1,-1,1,0,0,1
1,1,-1,0,0,1,0,0,-1,-1
0,0,0,0,1,1,0,-1,0,1
0,0,0,1,-1,0,0,0,1,0
1,1,0,-1,-1,-1,1,1,0,-1
0,1,1,0,0,0,0,0,-1,1
-1,1,-1,1,-1,-1,1,1,1,1
0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,-1,0,1
-1,1,1,1,-1,1,-1,-1,1,1
-1,0,1,0,1,0,-1,1,0,-1
-1,1,1,-1,1,-1,1,1,-1,1
1,1,-1,1,1,1,-1,-1,-1,1
-1,0,0,1,0,0,1,0,0,-1
0,0,0,0,0,1,0,0,0,0
1,-1,1,1,-1,-1,-1,1,1,0
-1,1,0,1,0,0,0,0,0,0
0,-1,0,0,0,1,0,0,1,-1
-1,0,0,1,1,1,1,-1,-1,1
0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
-1,-1,1,1,-1,1,-1,1,1,1
1,-1,-1,1,0,-1,1,0,1,1
1,0,0,-1,1,0,1,-1,0,1
1,1,-1,-1,1,1,-1,-1,1,1
-1,1,1,1,-1,-1,-1,1,1,0
1,0,0,1,0,0,0,-1,0,-1
0,-1,1,0,0,0,0,1,0,0
-1,1,-1,-1,1,-1,1,1,1,1
-1,1,1,-1,1,1,1,-1,-1,1
1,-1,-1,-1,-1,1,1,1,1,1
1,-1,-1,-1,1,1,-1,1,1,1
-1,1,1,-1,1,0,1,-1,0,1
0,1,1,0,-1,1,-1,-1,1,1
-1,0,-1,1,0,1,0,1,0,-1
0,0,0,0,1,1,0,-1,0,1
0,-1,1,1,0,0,0,0,0,0
1,-1,1,1,-1,-1,1,0,0,1
0,0,1,0,1,0,-1,0,0,0
0,-1,1,1,1,-1,-1,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0
-1,1,-1,0,0,1,1,-1,1,0
-1,1,1,1,-1,-1,1,-1,1,0
-1,1,1,-1,1,1,-1,-1,1,-1
-1,1,1,-1,0,1,1,-1,0,1
-1,1,-1,1,-1,1,1,-1,1,0
1,0,1,-1,-1,1,1,0,-1,0
1,0,1,-1,0,1,-1,1,-1,0
1,-1,0,1,-1,0,1,0,0,1
0,0,0,1,0,1,-1,0,0,-1
0,0,0,-1,0,1,0,0,1,0
1,-1,-1,-1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,1,0
-1,1,1,1,-1,1,1,-1,-1,-1
1,0,1,1,0,-1,-1,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,-1,0,1
-1,0,-1,0,1,0,0,1,1,-1
-1,1,-1,1,1,1,-1,-1,1,1
1,1,1,-1,-1,0,-1,0,1,1
0,0,0,0,0,0,0,1,0,0
0,0,0,1,-1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
-1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0
-1,0,-1,0,1,-1,1,1,1,1
0,0,0,0,0,1,0,0,0,0
0,0,-1,1,0,1,0,0,0,-1
-1,0,1,1,1,0,1,-1,-1,1
-1,-1,0,1,1,-1,1,1,0,-1
1,1,0,-1,1,0,1,-1,-1,0
0,1,0,1,-1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,-1,1,0,1,-1,1,0,-1
1,1,0,1,0,-1,1,-1,-1,1
0,0,0,0,0,0,0,1,0,0
-1,1,-1,1,1,1,0,-1,0,1
-1,1,-1,1,-1,1,0,1,0,-1
-1,-1,1,1,-1,1,1,1,-1,-1
0,0,1,0,1,0,-1,0,0,0
1,1,-1,-1,-1,1,-1,1,1,-1
0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,-1,1,0
1,1,0,0,0,0,0,-1,0,0
0,0,0,0,0,0,1,0,0,0
1,0,0,0,-1,0,0,1,0,0
0,-1,0,0,1,0,0,1,0,0
-1,-1,1,1,-1,0,1,1,0,-1
-1,1,-1,1,-1,-1,1,1,1,1
1,-1,1,-1,1,-1,-1,1,1,1
1,-1,1,1,-1,1,-1,0,0,-1
0,0,1,0,0,0,0,0,0,0
-1,1,-1,1,1,-1,1,-1,1,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,1,-1,-1,1,1,-1,1,1
0,0,-1,1,1,0,0,0,0,0
-1,1,1,-1,1,1,-1,-1,1,-1
1,-1,1,0,0,-1,0,1,0,0
1,-1,0,1,1,-1,1,0,-1,1
0,-1,0,0,0,1,0,1,0,0
1,0,1,0,-1,1,1,-1,-1,-1
0,1,-1,0,0,1,-1,1,0,-1
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,-1,1,0,0
0,0,0,0,0,0,0,1,0,0
0,-1,0,0,1,1,-1,0,1,1
-1,-1,-1,1,1,0,1,0,1,-1
0,0,0,0,0,0,1,0,0,0
-1,1,0,0,-1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0
-1,1,-1,-1,1,-1,1,1,1,1
1,1,1,1,-1,1,-1,-1,-1,1
1,-1,0,0,-1,1,1,1,-1,0
1,-1,1,1,-1,1,-1,1,-1,0
0,1,1,0,0,-1,0,0,0,1
1,1,0,-1,1,-1,-1,0,1,1
1,-1,0,1,0,0,0,0,0,1
1,1,-1,-1,-1,1,1,1,-1,0
1,0,0,0,0,0,0,0,0,0
-1,1,1,0,1,-1,-1,0,1,-1
0,0,1,-1,1,0,0,1,-1,1
0,-1,0,0,0,1,1,0,0,0
-1,1,1,1,1,-1,-1,0,0,0
0,0,0,0,0,1,0,0,0,0
-1,1,1,1,-1,-1,-1,1,1,0
1,1,1,-1,1,-1,-1,-1,1,1
0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,-1,-1,1,1
0,0,1,1,-1,1,0,0,-1,-1
-1,-1,1,1,-1,-1,1,1,1,1
-1,0,1,1,0,1,0,-1,0,1
0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,-1,0,1
-1,1,1,1,-1,0,0,1,-1,-1
1,0,1,0,-1,-1,-1,1,1,-1
-1,1,-1,0,0,0,1,1,0,1
1,0,0,0,-1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
1,1,-1,0,0,0,1,-1,0,0
1,0,0,0,0,0,0,0,0,0
1,-1,-1,1,-1,1,1,-1,1,1
0,0,1,0,0,-1,0,1,0,0
-1,1,-1,1,1,1,-1,1,-1,1
0,1,0,-1,1,-1,1,0,0,1
1,0,1,-1,1,-1,0,-1,1,1
0,-1,1,0,0,0,1,0,0,0
1,-1,0,-1,1,1,0,0,0,0
1,-1,-1,-1,1,-1,1,1,1,1
0,0,1,-1,0,1,0,0,0,0
1,1,-1,1,1,-1,1,-1,-1,1
0,1,1,1,0,0,0,-1,-1,-1
0,1,0,0,0,0,0,0,0,0
0,1,0,-1,0,0,0,0,1,0
-1,0,0,0,1,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,1,0,-1,-1,-1
0,0,-1,0,0,0,1,0,1,1
0,1,-1,-1,-1,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0
0,-1,0,-1,-1,1,1,1,1,1
-1,-1,1,1,0,0,-1,1,1,0
1,1,-1,-1,-1,0,1,1,0,-1
1,-1,-1,0,1,-1,1,0,1,1
0,1,-1,0,0,1,0,1,-1,-1
0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0
-1,1,0,1,0,0,0,0,0,0
0,0,0,-1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
-1,1,1,-1,0,0,1,0,0,-1
0,0,0,0,1,1,0,0,-1,0
0,0,-1,0,0,0,0,1,1,1
0,-1,-1,0,1,1,-1,1,1,-1
0,-1,1,-1,-1,1,0,1,1,1
-1,1,-1,-1,1,1,0,0,1,-1
1,-1,1,-1,1,1,-1,1,-1,0
0,0,0,0,0,0,1,0,0,0
1,-1,-1,0,1,1,1,-1,0,1
0,0,0,1,0,-1,0,1,0,0
0,0,-1,1,0,0,1,0,0,-1
0,1,-1,0,1,1,-1,1,-1,1
1,-1,1,-1,-1,0,1,1,0,-1
1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,-1,-1
1,1,1,-1,1,1,-1,-1,-1,1
-1,1,1,1,1,0,0,-1,-1,-1
0,1,1,-1,1,1,-1,0,-1,-1
-1,-1,1,1,1,-1,0,0,1,0
0,0,0,0,0,0,0,0,1,0
-1,1,1,-1,1,-1,1,1,-1,1
-1,-1,-1,-1,1,1,1,1,1,-1
1,0,-1,-1,0,1,1,1,-1,0
0,-1,0,0,0,1,1,0,0,0
1,1,0,-1,-1,1,-1,0,1,-1
1,1,-1,-1,-1,-1,1,1,1,-1
